index,message_time,s,v,vehID,vehicle_number,x,y
34,9400.0,40.96400456783291,7.5110011419582285,flow_12.0,1.0,101.65,46.06400456783291
35,9600.0,42.46620479622455,7.5110011419582285,flow_12.0,1.0,101.65,47.566204796224554
36,9800.0,43.968405024616196,7.5110011419582285,flow_12.0,1.0,101.65,49.06840502461619
37,10000.0,45.47060525300784,7.5110011419582285,flow_12.0,1.0,101.65,50.57060525300784
38,10200.0,46.97280548139948,7.5110011419582285,flow_12.0,1.0,101.65,52.072805481399485
39,10400.0,48.47500570979113,7.5110011419582285,flow_12.0,1.0,101.65,53.57500570979113
40,10600.0,49.97720593818277,7.5110011419582285,flow_12.0,1.0,101.65,55.07720593818278
41,10800.0,51.479406166574414,7.5110011419582285,flow_12.0,1.0,101.65,56.57940616657441
42,11000.0,52.98160639496606,7.5110011419582285,flow_12.0,1.0,101.65,58.08160639496606
43,11200.0,54.4838066233577,7.5110011419582285,flow_12.0,1.0,101.65,59.5838066233577
44,11400.0,55.986006851749345,7.5110011419582285,flow_12.0,1.0,101.65,61.086006851749346
45,11600.0,57.48820708014099,7.5110011419582285,flow_12.0,1.0,101.65,62.588207080141
46,11800.0,58.99040730853263,7.5110011419582285,flow_12.0,1.0,101.65,64.09040730853263
47,12000.0,60.492607536924275,7.5110011419582285,flow_12.0,1.0,101.65,65.59260753692428
48,12200.0,61.99480776531592,7.5110011419582285,flow_12.0,1.0,101.65,67.09480776531592
49,12400.0,63.49700799370756,7.5110011419582285,flow_12.0,1.0,101.65,68.59700799370756
50,12600.0,0.0,0.0,flow_6.0,2.0,194.9,101.65
51,12600.0,64.99920822209921,7.5110011419582285,flow_12.0,1.0,101.65,70.09920822209921
52,12800.0,0.10400000000000009,0.52,flow_6.0,2.0,194.796,101.65
53,12800.0,66.50140845049086,7.5110011419582285,flow_12.0,1.0,101.65,71.60140845049085
54,13000.0,0.0,0.0,flow_9.0,3.0,98.35000000000001,194.9
55,13000.0,0.3120000000000003,1.04,flow_6.0,2.0,194.588,101.65
56,13000.0,68.0036086788825,7.5110011419582285,flow_12.0,1.0,101.65,73.1036086788825
57,13200.0,0.10400000000000009,0.52,flow_9.0,3.0,98.35000000000001,194.796
58,13200.0,0.6240000000000006,1.56,flow_6.0,2.0,194.276,101.65
59,13200.0,69.50580890727414,7.5110011419582285,flow_12.0,1.0,101.65,74.60580890727414
60,13400.0,0.3120000000000003,1.04,flow_9.0,3.0,98.35000000000001,194.588
61,13400.0,1.040000000000001,2.08,flow_6.0,2.0,193.86,101.65
62,13400.0,71.00800913566579,7.5110011419582285,flow_12.0,1.0,101.65,76.10800913566578
63,13600.0,0.6240000000000006,1.56,flow_9.0,3.0,98.35000000000001,194.276
64,13600.0,1.5577180319005146,2.5885901595025684,flow_6.0,2.0,193.34228196809948,101.65
65,13600.0,72.51020936405743,7.5110011419582285,flow_12.0,1.0,101.65,77.61020936405743
66,13800.0,1.040000000000001,2.08,flow_9.0,3.0,98.35000000000001,193.86
67,13800.0,2.158655208307122,3.0046858820330353,flow_6.0,2.0,192.74134479169288,101.65
68,13800.0,74.01240959244907,7.5110011419582285,flow_12.0,1.0,101.65,79.11240959244907
69,14000.0,1.5600000000000005,2.6,flow_9.0,3.0,98.35000000000001,193.34
70,14000.0,2.8153019036443645,3.28323347668621,flow_6.0,2.0,192.08469809635562,101.65
